,pace_sec,half_pace_sec,age,time_hours,age_range,race_uniform_index,bib
5883,318.71074771892404,317.76276810048586,36,3.7355555555555555,Cancha Reglamentaria(29-39),0.00013538592207,7670
6258,318.734447209385,313.11766797013865,43,3.7358333333333333,WTF Happened(40-49),0.0004282860756693,8113
7201,318.734447209385,281.9765375044436,34,3.7358333333333333,Cancha Reglamentaria(29-39),0.0280503569289212,9178
3007,318.734447209385,290.8875459177628,31,3.7358333333333333,Cancha Reglamentaria(29-39),0.0169408463449138,4054
8835,318.734447209385,327.19516530394594,35,3.7358333333333333,Cancha Reglamentaria(29-39),0.002924295697735,11055
918,318.75814669984595,315.86680886360944,52,3.736111111111111,Señora(50-60),4.993286441930689e-05,1302
6634,318.75814669984595,314.2552435122645,37,3.736111111111111,Cancha Reglamentaria(29-39),0.0001360262633222,8532
4422,318.7818461903069,296.8598175139235,46,3.736388888888889,WTF Happened(40-49),0.0078034917097577,5919
2633,318.80554568076786,311.363905676028,37,3.736666666666667,Cancha Reglamentaria(29-39),0.0007095347162169,3593
991,318.8292451712288,313.44946083659204,27,3.7369444444444446,Dientes de leche(0-28),0.0002234331170057,1406
8281,318.8292451712288,315.3928190543903,26,3.7369444444444446,Dientes de leche(0-28),0.0002114785358057,10433
4266,318.92404313307264,306.4818106410712,38,3.7380555555555555,Cancha Reglamentaria(29-39),0.0021655647078649,5726
90,318.9477426235336,318.0945609669392,33,3.7383333333333333,Cancha Reglamentaria(29-39),9.440601480505934e-05,218
6518,318.97144211399456,316.1986017300628,34,3.738611111111111,Cancha Reglamentaria(29-39),6.272241991253775e-05,8407
5221,319.01884109491647,312.69107714184145,54,3.7391666666666667,Señora(50-60),0.0005123550288742,6864
1609,319.0425405853774,303.6378717857566,27,3.7394444444444446,Dientes de leche(0-28),0.005144294832052,2238
1617,319.0425405853774,322.0760753643797,39,3.7394444444444446,Cancha Reglamentaria(29-39),0.0006241487013449,2248
7793,319.1136390567603,289.1337836236521,41,3.7402777777777776,WTF Happened(40-49),0.0203393073477293,9854
